2012MA18, 3, MA527, Elective - II
2012MA08, 3, MA527, Elective - I
2012MA14, 3, MA527, Elective - II
2012MA11, 3, MA527, Elective - II
2012MA12, 3, MA527, Elective - I
2012MA09, 3, MA527, Elective - I
2121MA03, 2, MA527, CREDIT
2012MA19, 3, MA527, Elective - I
2012MA05, 3, MA527, Elective - I
2012MA06, 3, MA527, Elective - I
2012MA03, 3, MA527, Elective - I
2012MA01, 3, MA527, Elective - I
2012MA20, 3, MA527, Elective - I
2012MA24, 3, MA527, Elective - I
2012MA18, 3, MA527, Elective - II
