2011MM09, 3, MM603, CORE
2011MM04, 3, MM603, CORE
2011MM05, 3, MM603, CORE
2011MM15, 3, MM603, CORE
2011MM06, 3, MM603, CORE
2011MM16, 3, MM603, CORE
2011MM12, 3, MM603, CORE
2011MM07, 3, MM603, CORE
2011MM02, 3, MM603, CORE
2011MM17, 3, MM603, CORE
2011MM13, 3, MM603, CORE
2011MM10, 3, MM603, CORE
2011MM08, 3, MM603, CORE
2011MM01, 3, MM603, CORE
2011MM18, 3, MM603, CORE
2011MM14, 3, MM603, CORE
2011MM09, 3, MM603, CORE
