2121MA08, 2, MA539, CREDIT
2012MA15, 3, MA539, Elective - II
2012MA21, 3, MA539, Elective - II
2012MA16, 3, MA539, Elective - II
2121MA04, 2, MA539, CREDIT
2012MA22, 3, MA539, Elective - II
2012MA17, 3, MA539, Elective - II
2121MA08, 2, MA539, CREDIT
